"validation_rank","gene_name","log2FoldChange","abs_log2FC","pvalue","padj","direction","validation_status","AUC","CI_lower","CI_upper","sensitivity","specificity","ROC_rank","stability_score","stability_rank","top10_stability","top20_stability","importance","ML_rank","baseMean","lfcSE","stat","score_AUC","score_sensitivity","score_specificity","score_stability","score_ML","score_DE","integrated_score","integrated_rank"
13,"TRPM8",9.59299032865148,9.59299032865148,4.02694337349444e-155,1.23905949953675e-154,"Up in Tumor","Strongly validated",0.976530710326487,0.965430131181789,0.987631289471186,0.91304347826087,1,13,0.00838017622076494,26,0,0,0.00363016994396829,26,465.748579154352,0.361548356881923,26.5330768237578,0.976530710326487,0.91304347826087,1,0.358974358974359,0.358974358974359,0.871794871794872,0.711858430089983,11
11,"TMPRSS11E",9.69476108621997,9.69476108621997,7.5564884167868e-169,2.74781396974065e-168,"Up in Tumor","Strongly validated",0.966454134760181,0.952572761966828,0.980335507553533,0.88468809073724,1,14,0.00898959953928375,25,0,0.2,0.00281056073147667,30,810.730040545535,0.350027390944404,27.697149814655,0.966454134760181,0.88468809073724,1,0.384615384615385,0.256410256410256,0.923076923076923,0.694829567813452,12
4,"CRABP2",8.22271759677041,8.22271759677041,3.31130242296664e-206,3.31130242296664e-205,"Up in Tumor","Strongly validated",0.990388004229278,0.983190224662458,0.997585783796099,0.98109640831758,0.949152542372881,5,-0.00355612564578612,38,0,0.4,0.00984802066209478,16,10810.9883007897,0.26834226500648,30.6426480993288,0.990388004229278,0.98109640831758,0.949152542372881,0.0512820512820513,0.615384615384615,0.692307692307692,0.692240819106347,13
7,"CYP24A1",9.62983397549059,9.62983397549059,5.54000914735719e-185,3.16571951277554e-184,"Up in Tumor","Strongly validated",0.982874627535164,0.973822646775015,0.991926608295313,0.914933837429111,0.983050847457627,11,0.00687902734887448,30,0,0,0.0025270438148018,32,5988.96204977517,0.331995439223587,29.005922484993,0.982874627535164,0.914933837429111,0.983050847457627,0.256410256410256,0.205128205128205,0.897435897435897,0.663315099295202,14
10,"PITX2",11.4683154220349,11.4683154220349,1.45809085215799e-175,5.83236340863195e-175,"Up in Tumor","Strongly validated",0.963698695972574,0.950109062354569,0.977288329590578,0.924385633270321,1,17,-0.02299150801501,39,0,0.4,0.00350568139527132,27,485.066961728628,0.405970322937254,28.2491472259844,0.963698695972574,0.924385633270321,1,0.0256410256410257,0.333333333333333,1,0.651377390778563,15
8,"PPP1R14D",8.94844559690494,8.94844559690494,3.13479551194323e-181,1.56739775597162e-180,"Up in Tumor","Strongly validated",0.986062606132453,0.976745405063508,0.995379807201399,0.941398865784499,0.949152542372881,9,0.00734461653958949,29,0,0.2,0.00133582911100631,36,846.035743947438,0.311718287621108,28.7068354737715,0.986062606132453,0.941398865784499,0.949152542372881,0.282051282051282,0.102564102564103,0.717948717948718,0.631358684356025,16
9,"MYEOV",9.16976968888518,9.16976968888518,1.10091482709406e-177,4.8929547870847e-177,"Up in Tumor","Strongly validated",0.989490884624011,0.98271988206082,0.996261887187202,0.964083175803403,0.949152542372881,7,-0.0447384669619712,40,0,0.4,0.00276928817065332,31,1189.23247968265,0.322636395247164,28.4213741039986,0.989490884624011,0.964083175803403,0.949152542372881,0,0.230769230769231,0.769230769230769,0.609977374840724,17
18,"FGL1",9.37008797063304,9.37008797063304,3.90137386029892e-114,8.66971968955316e-114,"Up in Tumor","Strongly validated",0.958924738073115,0.940357174275273,0.977492301870958,0.899810964083176,0.983050847457627,18,0.0032046506549001,34,0,0,0.00109814705180329,37,2746.5463372127,0.412668689597011,22.7060792515743,0.958924738073115,0.899810964083176,0.983050847457627,0.153846153846154,0.0769230769230769,0.82051282051282,0.601213042081646,18
21,"AGER",-2.89557217187103,2.89557217187103,7.90802556244607e-44,1.50629058332306e-43,"Down in Tumor","Strongly validated",0.0193521514850533,0.00966928252310723,0.0290350204469995,1,0,40,0.768247100688669,2,1,1,0.161725539198809,1,3919.04610962651,0.208553006529834,-13.8841065878224,0.0193521514850533,1,0,0.974358974358974,1,0.461538461538462,0.595863678896905,19
14,"PRAME",10.460915019936,10.460915019936,8.08448029284803e-143,2.3098515122423e-142,"Up in Tumor","Strongly validated",0.942312005382718,0.919251462591163,0.965372548174272,0.943289224952741,0.864406779661017,19,0.00211218107961687,35,0,0,0.00085934021051757,38,1619.145423405,0.411123848829478,25.4446805986068,0.942312005382718,0.943289224952741,0.864406779661017,0.128205128205128,0.0512820512820513,0.948717948717949,0.594281293823923,20
