"gene_name","log2FoldChange","padj","Significance"
"AC008703.1",1.05537345364214,0.00138424640159986,"Upregulated"
"RPS15AP6",1.28006603750962,0.00138520072048612,"Upregulated"
"NUP50P1",1.24469780127244,0.00138593732642807,"Upregulated"
"AL671883.1",1.00045387983512,0.0013868846040017,"Upregulated"
"LPP-AS1",2.85596209235916,0.00138735958412472,"Upregulated"
"AP003969.2",1.00804090280552,0.00139184095801776,"Upregulated"
"Metazoa_SRP",1.66910814745718,0.00139236293851624,"Upregulated"
"OR7E161P",1.64425832832387,0.00139432958915565,"Upregulated"
"HS6ST3",1.08591947231914,0.00139473691171958,"Upregulated"
"Y_RNA",1.44884796406339,0.0013958377473011,"Upregulated"
"GPR1-AS",2.94095205818054,0.00139651021527189,"Upregulated"
"PTPRJ-AS1",1.62580852816105,0.00139739877623386,"Upregulated"
"ARHGDIG",1.04050068834559,0.00139825610145116,"Upregulated"
"SNORD71",2.00817220272533,0.00139938319903024,"Upregulated"
"AC027808.2",1.08364633172835,0.00139962405976435,"Upregulated"
"MRTFA-AS1",1.19421909658198,0.00140077484507607,"Upregulated"
"AL022400.1",2.05284677567302,0.00140314670637722,"Upregulated"
"AL357552.1",2.01598978929102,0.00140933460129565,"Upregulated"
"AC022080.2",2.23118624049434,0.00141020085383801,"Upregulated"
"RPS6P8",1.31344243408044,0.00141201097032865,"Upregulated"
"ZMYND19P1",1.08749334864035,0.00141292853247055,"Upregulated"
"RN7SL430P",3.12606918757863,0.0014143981273253,"Upregulated"
"AC135626.1",3.14853047207808,0.00141894373122028,"Upregulated"
"Metazoa_SRP",1.87098487262835,0.00142097381202227,"Upregulated"
"H2BC1",2.29161276837738,0.00143415232188731,"Upregulated"
"AL033381.2",1.46690393725962,0.00143608013197372,"Upregulated"
"AC105275.2",1.4920407665336,0.00143722341380449,"Upregulated"
"RPS12P18",-1.37131938071373,0.00143844339552609,"Downregulated"
"AC009102.2",1.11722723570386,0.00144284195546621,"Upregulated"
"MIR4307HG",2.26192354764992,0.00144589570487306,"Upregulated"
"AC098476.1",-1.05626132912823,0.00144855842614276,"Downregulated"
"TRAJ18",1.34118597823319,0.00144875211914852,"Upregulated"
"RNU6-795P",1.96606925980516,0.00145109486862908,"Upregulated"
"AL160408.4",2.2356460109686,0.00145336964765456,"Upregulated"
"AC004817.4",2.1644650254397,0.001459295571191,"Upregulated"
"AP001605.1",1.35483236845451,0.00146372209092943,"Upregulated"
"WFDC11",1.523338129383,0.00147103378028862,"Upregulated"
"AC103706.2",2.24959105462321,0.00147173510082973,"Upregulated"
"SPATA31E1",1.62313624536246,0.00147224590689322,"Upregulated"
"HMMR-AS1",1.20478371116579,0.0014767437282341,"Upregulated"
"TMEM97P1",1.10414419974631,0.00147731588241349,"Upregulated"
"RNA5SP28",1.42652817292647,0.00147881034725937,"Upregulated"
"ITPKB-AS1",2.02145512566528,0.00148046127585917,"Upregulated"
"PRKAR1B-AS2",1.31208862943967,0.00148288312007623,"Upregulated"
"AC079776.5",-1.17568137193673,0.00148398913255071,"Downregulated"
"AC005521.1",1.12497300235764,0.001486952573394,"Upregulated"
"AP000302.1",1.06740504155264,0.00148758045025264,"Upregulated"
"AC007601.2",2.34782529166566,0.00148844344698407,"Upregulated"
"MARK3P1",2.44600631794141,0.00149039950817902,"Upregulated"
"RNA5SP123",1.35547383939781,0.00149433933700088,"Upregulated"
"Z99758.1",2.16789334664864,0.00149801932671717,"Upregulated"
"FABP5P11",-1.09722396672217,0.00149906681573542,"Downregulated"
"AC090774.2",1.87978770024346,0.00150072903250982,"Upregulated"
"RNY3P13",2.41647076007744,0.00150219109767124,"Upregulated"
"AC018659.8",-1.1920126215836,0.00150720884446231,"Downregulated"
"SERPINB13",1.62361624000809,0.00150901082479039,"Upregulated"
"AL359976.1",1.38631962969552,0.00150901082479039,"Upregulated"
"LINC00520",1.04404307647199,0.00151016705969606,"Upregulated"
"AC118755.2",1.03728551347367,0.00151016705969606,"Upregulated"
"AL162574.2",1.60260821078793,0.00151999808444142,"Upregulated"
"MIR1296",2.27379122219646,0.00153391564078792,"Upregulated"
"LRRD1",1.02338833400225,0.0015359416320076,"Upregulated"
"AP003086.2",2.4435940592113,0.0015380809010939,"Upregulated"
"AC009884.2",2.47702839009413,0.00153887005043294,"Upregulated"
"Y_RNA",1.03351549507582,0.00154111187080179,"Upregulated"
"AC018685.2",2.01667401882801,0.00154355784801046,"Upregulated"
"LINC02513",1.28640271738874,0.00154597139336944,"Upregulated"
"ATP5MC2P3",1.45774410558203,0.00154618740912483,"Upregulated"
"AC023300.3",1.3358506010455,0.00154646321891113,"Upregulated"
"LINC00200",1.30604110001539,0.00155094548588067,"Upregulated"
