"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006937","regulation of muscle contraction","59/4647","170/18870",0.00199345083768475,0.0188099976478971,0.0147455544221215,"TBXA2R/SCN4A/ATP1A2/DSG2/PKP2/ENO1/EDN1/CACNA1S/REM1/NOS1/MYH7/DSP/CHGA/SLC8A3/MYL9/TNNC2/SMAD7/TNNT1/CAV1/P2RX1/CACNG1/NMU/CALCA/TNNC1/CHRNB4/TNNT2/CASQ2/ADRA1A/NR4A1/EDN2/DOCK4/TNNI3/CNN1/TNNT3/NMUR2/MYBPH/GATA4/PLCE1/PDE5A/MYOCD/ATP1B1/ADCY10/ADRA2A/RNF207/MYL3/PROK2/ADORA1/UCN/ITGA2/GPER1/NPNT/ADRB2/CHRM2/CAV3/NKX2-5/SCN5A/PRKG1/ATP2A1/GJA5",59
"GO:0007620","copulation","11/4647","19/18870",0.00199718251691719,0.0188168280509548,0.0147509089193361,"P2RX1/SLC6A4/CNR1/PI3/KLK14/SERPINE2/EDNRB/VIP/P2RY1/EDDM3A/DDO",11
"GO:0072080","nephron tubule development","38/4647","100/18870",0.00201590567653847,0.0189646705449995,0.0148668057728417,"HOXA11/PROM1/WWTR1/WNT11/SIX4/SALL1/CALB1/TMEM59L/WNT6/TCF21/SOX9/BMP2/SIX1/HOXD11/WNT2B/AGT/FGF2/GREB1L/ADAMTS16/GPC3/HS3ST3A1/KIF26B/HEYL/DCHS1/GREM1/GDNF/NPNT/IRX1/SIX2/AQP11/AGTR2/POU3F3/LGR4/AQP1/FOXD1/HOXB7/CD24/LHX1",38
"GO:0071774","response to fibroblast growth factor","45/4647","123/18870",0.00202868794335452,0.0190562639243631,0.0149386077573711,"GCLC/PAX6/CPS1/GCLM/CD44/CASR/TNC/FGFR2/HYAL2/FGF10/NDST1/FGF20/FGF21/CCL2/COL1A1/HYAL1/KDM5B/CCN2/TBX2/NR4A1/RUNX2/FLRT3/FLRT1/ZFP36/KCNC1/POSTN/KL/KLB/SULF1/FGF5/FGF2/SCGB1A1/PTH/CXCL13/FGFR4/FGF19/HHIP/OTX2/SHCBP1/APLN/NDNF/EGR3/SPRY4/TRIM71/LHX1",45
"GO:0010718","positive regulation of epithelial to mesenchymal transition","25/4647","59/18870",0.00206027603484456,0.0192887556596781,0.015120862938895,"WWTR1/SERPINB3/FERMT2/TGFB2/BAMBI/RGCC/EZH2/ENG/COL1A1/MDK/TWIST1/GLIPR2/IL1B/BMP2/LOXL2/AGT/IL6/ADAM8/DAB2/PDPN/TGFBR2/TBX20/TNXB/ALX1/EMP2",25
"GO:0048714","positive regulation of oligodendrocyte differentiation","14/4647","27/18870",0.00208657150515547,0.0192887556596781,0.015120862938895,"PTPRZ1/ASPA/MDK/CLCN2/MYRF/NKX2-2/IL33/ZNF365/TENM4/IL34/NKX6-1/GSX2/OLIG2/ZNF488",14
"GO:0051446","positive regulation of meiotic cell cycle","14/4647","27/18870",0.00208657150515547,0.0192887556596781,0.015120862938895,"LFNG/RAD51AP1/MSX2/PRDM7/DMRT1/STRA8/RBM46/CDC25C/MSX1/CDC25A/PRDM9/OVOL1/MEIOC/MEIOSIN",14
"GO:0071467","cellular response to pH","14/4647","27/18870",0.00208657150515547,0.0192887556596781,0.015120862938895,"NOX1/INSRR/MCOLN1/PKD2L1/ASIC1/HYAL1/HVCN1/PCK1/AQP10/SCNN1D/SCNN1G/KCNE1/SLC38A3/TRPV1",14
"GO:0099560","synaptic membrane adhesion","14/4647","27/18870",0.00208657150515547,0.0192887556596781,0.015120862938895,"CDH10/MDGA1/PCDH17/FLRT3/LRRC4/LRRC4B/PCDH8/SPARCL1/PTPRD/NTNG1/LRFN4/SLITRK1/EFNA5/SLITRK2",14
"GO:0048168","regulation of neuronal synaptic plasticity","24/4647","56/18870",0.00208805892806235,0.0192887556596781,0.015120862938895,"RASGRF1/CAMK2B/CAMK2A/GRIN2D/NEURL1/DBN1/SLC8A2/EGR2/VGF/EPHB2/SNCA/JPH3/S100B/GRIN2C/GRIK2/NSMF/NETO1/GRIN1/KCNJ10/GRIN2A/CNTN2/ARC/SHISA8/SHANK3",24
