"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046906","tetrapyrrole binding","60/4787","151/18496",0.000128119120697474,0.00193234066872033,0.00158259271374263,"CYP26B1/CYP24A1/CYP2W1/NOX4/NOS1/CYP26A1/CYP2D6/FA2H/AMBP/CYP2C18/CYP27B1/HRG/ABCB6/TPO/ADGB/FLVCR2/CAT/PTGIS/CYP2E1/MMACHC/CBLIF/TCN1/CYP27A1/DUOX1/CYP19A1/CYP2C9/CYP1A1/CYP1A2/CYP4B1/CYP17A1/TDO2/GUCY1A2/CBS/LOC102724560/CYP3A7/CYGB/FLVCR1/STEAP1/CYBB/NGB/CYP2C19/CYB5A/LPO/CYP4F11/CYP8B1/CYP4F2/CYP4F8/CYP4F3/CYP27C1/HBA2/CYP2B6/CYP2F1/CYP2A13/MB/HBA1/HBM/HBD/CYP21A2/HBB/NOX5",60
"GO:0001540","amyloid-beta binding","38/4787","85/18496",0.00012914157934517,0.00193234066872033,0.00158259271374263,"CALCR/MAPK8IP2/MARCO/APBA2/MSR1/ITM2A/ACHE/TGFB2/ATP1A3/CRYAB/BCHE/DLGAP3/FBXO2/APOA1/GRIA2/IAPP/RAMP3/LDLR/EPHB2/CD36/ITM2C/TLR4/CACNA1B/GRIA4/GRIA1/LRP8/CLSTN2/ITGA2/APBB1/ADRB2/FPR2/C1QA/FZD4/GRIN1/GRIN2A/COL25A1/PFDN6/AGER",38
"GO:0008009","chemokine activity","25/4787","49/18496",0.000143516914997749,0.00208648255597579,0.00170883537457458,"CX3CL1/CCL26/CXCL2/CCL24/CXCL12/CCL7/CCL2/CCL1/CCL20/CXCL6/CCL25/CXCL9/CXCL14/CCL28/CXCL13/CXCL16/CXCL3/PPBP/PF4/CCL19/CKLF/CCL23/CCL16/CCL18/CCL14",25
"GO:0017046","peptide hormone binding","25/4787","49/18496",0.000143516914997749,0.00208648255597579,0.00170883537457458,"CALCR/CALCRL/GLP2R/ADCYAP1R1/CCKBR/GHR/NPR3/PRLR/VIPR1/GALR3/RAMP2/RAMP1/RXFP2/EDNRB/LHCGR/PTH2R/PIK3R1/CRHBP/PTH1R/CCKAR/MC4R/NPR1/GALR2/CMKLR2/GCGR",25
"GO:0046943","carboxylic acid transmembrane transporter activity","64/4787","164/18496",0.000144607701899312,0.00208648255597579,0.00170883537457458,"SLC7A2/SLC25A13/SLC6A13/SLC6A7/SLC7A9/ABCC2/SLC6A15/ABCB11/CEACAM1/SLCO1A2/ABCB1/SLC26A4/SLC26A3/SLC16A8/SLC25A15/SLC7A5/SLC1A6/SLC1A1/ABCC3/SLC16A6/SLC6A12/SLCO1B3/TSPO2/SLC27A6/SLC1A4/SLC16A7/ABCG2/SLC25A2/ABCC11/SLC6A8/SLC7A10/SLC6A11/SLCO1B1/CD36/SLC5A6/SLC38A4/SLC13A5/SLC16A3/SLC26A1/SLC5A12/SLC7A11/SLC16A1/SLC7A7/SLC13A3/SLC1A7/SLC16A14/SLC6A18/SFXN1/SLC25A32/SLC7A3/SLC16A9/SLC38A8/MFSD2A/SLC38A11/SLC19A1/SLC16A11/SLC25A21/SLC25A10/SLC51B/SLC38A3/SLC22A4/AKR1C4/SLC23A3/SLC26A6",64
"GO:0030553","cGMP binding","11/4787","15/18496",0.000160877109398797,0.00229391831283932,0.00187872587198843,"CNGB1/PDE10A/PDE11A/CNGA4/PRKG2/PDE5A/CNGA3/CNGB3/PRKG1/PDE2A/CNGA1",11
"GO:0005221","intracellular cyclic nucleotide activated monoatomic cation channel activity","9/4787","11/18496",0.000167974456670318,0.00234005794809685,0.00191651436951131,"CNGB1/HCN2/CNGA4/KCNA10/CNGA3/HCN1/CNGB3/CNGA1/AQP1",9
"GO:0043855","cyclic nucleotide-gated monoatomic ion channel activity","9/4787","11/18496",0.000167974456670318,0.00234005794809685,0.00191651436951131,"CNGB1/HCN2/CNGA4/KCNA10/CNGA3/HCN1/CNGB3/CNGA1/AQP1",9
"GO:0019842","vitamin binding","59/4787","150/18496",0.000200777431946949,0.00276525281272388,0.0022647502192102,"NPC1L1/PYGM/CYP2W1/ACACB/AFM/P3H2/SEC14L2/GCAT/CALB1/FOLR3/P3H3/OGFOD2/AGXT2/RBP2/KYNU/CTH/MTARC2/LRAT/OPN4/GAD1/EGLN3/SCLY/DDC/MMACHC/KL/CBLIF/TCN1/PSAT1/SDS/TTPA/STRA6/RBP4/CRABP2/GC/P4HA3/TKTL2/PLOD2/ALAS2/CBS/LOC102724560/FTCD/ALB/ETNPPL/GPT2/CRABP1/GPT/KYAT1/PC/SLC19A1/TYMS/C8G/GLDC/DHTKD1/SHMT2/CYP27C1/OGDHL/ADH4/ABCA4/OPN3",59
"GO:0042277","peptide binding","113/4787","325/18496",0.000211091668604612,0.00286561075236112,0.00234694366812275,"CALCR/MAPK8IP2/MARCO/SLC7A9/APBA2/MSR1/NPFFR2/CALCRL/GLP2R/SEC61A2/TRHDE/ADCYAP1R1/ITM2A/OPRK1/ACHE/CMA1/TGFB2/KDELR3/NFKBIA/SLC7A5/CEMIP/CLEC4M/ATP1A3/PPIF/GNRHR/CRYAB/CCKBR/OPRM1/GHR/NPR3/PRLR/BCHE/VIPR1/DHCR24/OPRD1/DLGAP3/FBXO2/APOA1/PRLHR/GRIA2/IAPP/RAMP3/NLN/AVPR2/MCHR1/GALR3/LBP/LDLR/RAMP2/PPARG/RAMP1/SSTR4/NMUR2/RXFP2/EPHB2/CD36/ITM2C/EDNRB/TLR4/PPIL1/LHCGR/SSTR1/FURIN/PTH2R/PIK3R1/CRHBP/CACNA1B/GRIA4/GRIA1/LRP8/CLSTN2/CD1A/POM121L2/PTH1R/SSTR5/CCKAR/NPY5R/ITGA2/APBB1/MC4R/ADRB2/NPR1/GPR37L1/GPR37/FPR2/NMUR1/GPR22/C1QA/TLR10/FZD4/GRIN1/KPNA2/GALR2/GRIN2A/CMKLR2/KPNA7/FFAR4/QRFPR/COL25A1/IPO4/MME/AVPR1B/HLA-DRB5/PFDN6/HLA-DOA/HLA-DRA/AGER/HLA-E/GCGR/TMEM158/OMP/TUBB3/NPBWR1",113
